id,date,decision,confidence_rate,starting_price,ending_price,before_total,after_total,result_rate,max_opposite_price_move_rate,max_opposite_price_move_rate_time,max_take_profit_rate,take_profit_rate_time,trade_state,control_state
7,2024-01-02 08:00:00+03:00,DOWN,0.79,45455.52,45433.99,45455.52,45477.05,1.0005,0.0000,-1,0.0000,-1,WIN DeActive Stop Loss and DeActive Take Profit,OK
8,2024-01-02 12:00:00+03:00,DOWN,0.76,45433.99,45184.82,45477.05,45726.45615051638652031221559,1.0055,0.0000,-1,0.0000,-1,WIN DeActive Stop Loss and DeActive Take Profit,OK
9,2024-01-02 16:00:00+03:00,DOWN,0.74,45184.83,45039.49,45726.45615051638652031221559,45873.53832692196449010566567,1.0032,0.0000,-1,0.0000,-1,WIN DeActive Stop Loss and DeActive Take Profit,OK
10,2024-01-02 20:00:00+03:00,UP,0.64,45039.49,44946.91,45873.53832692196449010566567,45779.24391598821645094061335,-0.0021,0.0000,-1,0.0000,-1,LOSS DeActive Stop Loss and DeActive Take Profit,OK
11,2024-01-03 00:00:00+03:00,UP,0.76,44946.91,45262.69,45779.24391598821645094061335,46100.87157946476598439859805,1.0070,0.0000,-1,0.0000,-1,WIN DeActive Stop Loss and DeActive Take Profit,OK
16,2024-01-03 04:00:00+03:00,DOWN,0.72,45262.70,45011.77,46100.88176464633152209995526,46356.45852567036906225643161,1.0055,0.0000,-1,0.0000,-1,WIN DeActive Stop Loss and DeActive Take Profit,OK
17,2024-01-03 08:00:00+03:00,UP,0.62,45011.77,43702.88,46356.45852567036906225643161,45008.46654491367610479448729,-0.0291,0.0000,-1,0.0000,-1,LOSS DeActive Stop Loss and DeActive Take Profit,OK
18,2024-01-03 12:00:00+03:00,DOWN,0.61,43702.89,43000.01,45008.47684365521096786898142,45732.35478865766674791226345,1.0161,0.0000,-1,0.0000,-1,WIN DeActive Stop Loss and DeActive Take Profit,OK
13,2024-01-03 16:00:00+03:00,DOWN,0.60,43000.01,42596.67,45732.35478865766674791226345,46161.32417681495283473184634,1.0094,0.0000,-1,0.0000,-1,WIN DeActive Stop Loss and DeActive Take Profit,OK
23,2024-01-04 12:00:00+03:00,UP,0.68,43176.33,44051.10,46161.32417681495283473184634,47096.57137244627250204118867,1.0203,0.0000,-1,0.0000,-1,WIN DeActive Stop Loss and DeActive Take Profit,OK
